Dealer,Service_Today,Service_Yesterday,Service_Diff,Parts_Today,Parts_Yesterday,Parts_Diff,Notable
41,43,37,+6,17,15,+2,Service_Diff_Circled
28,35,32,+2,18,20,+2,
27,38,28,+10,37,23,+14,
26,32,34,-2,20,21,-1,Service_Diff_Circled
24,48,40,+8,31,27,+3,
23,26,27,-1,13,13,0,
21,25,22,+3,15,13,+2,
20,33-34,34,-3,15,15,0,Service_Diff_Circled
17,24,20,+4,19,19,0,
16,27,26,+1,25,26,-1,
14,34,32,+2,17,20,+3,
12,26,26,0,36,41,-5,
11,34,28,+6,39,40,-1,
07,,,,,,
06,14,15,-1,57,72,-16,
05,29,28,+1,18,18,0,
04,29,28,+1,38,45,-7,Parts_Diff_Circled
02,23,20,+3,19,16,+3,Parts_Diff_Circled
01,33,26,+7,21,23,-2,
