Line,Description,MTD_1MTH_PRIOR,MTD_2MTH_PRIOR,MTD_3MTH_PRIOR,MTD_4MTH_PRIOR,MTD_5MTH_PRIOR,MTD_6MTH_PRIOR,MTD_7MTH_PRIOR,MTD_8MTH_PRIOR,MTD_9MTH_PRIOR,MTD_10MTH_PRIOR,MTD_11MTH_PRIOR,MTD_12MTH_PRIOR
SX1001,#COD ROs,721,808,778,829,841,790,856,902,877,757,810,700
SX1002,COD Labor Sales,266025,295797,330153,312355,256790,247295,270702,329108,288459,244750,284017,257161
SX1003,COD Labor Discounts,-16514,-16514,-13199,-12496,-5942,-4901,-6165,-8098,-5910,-5959,-6408,-6791
SX1004,COD Revenue,249511,279283,316954,299859,251348,242394,264537,321010,280949,238791,277609,250370
SX1005,COD Gross,191531,215379,248239,215121,186509,177047,195036,240686,211798,179437,218034,192224
SX1006,Discounts Per RO,-23,-20,-17,-15,-6,-6,-7,-9,-7,-8,-8,-9
SX1007,COD $ Per RO,348,346,407,362,299,307,309,356,320,315,343,321
SX1008,COD GP%,76.76,77.12,78.32,78.48,74.20,73.04,73.73,74.98,75.39,75.14,78.54,76.78
SX1011,# Warranty ROs,186,214,187,207,202,231,214,208,188,163,184,213
SX1012,Warranty Sales,71653,75828,46687,70823,53809,61476,60757,56462,52418,34682,49243,46401
SX1013,Warranty Gross,56495,58992,36746,56100,41863,46836,51232,43349,40098,27067,39762,37373
SX1014,Warr $ Per RO,385,354,250,342,266,266,312,271,279,213,268,218
SX1015,Warr GP%,78.85,77.80,78.71,79.21,77.80,76.19,76.74,76.78,76.50,78.04,80.75,80.54
SX1021,# Internal ROs,119,101,69,133,110,69,81,110,112,66,78,98
SX1022,Internal Sales,49633,34286,25236,33788,14309,12087,18231,22024,28213,19722,29493,43499
SX1023,Internal Discounts,,,,,,,,,,,-3707
SX1024,Internal Revenue,49633,34286,25236,33788,14309,12087,18231,22024,28213,19722,29493,39792
SX1025,Internal Gross,37375,24676,18377,25560,9534,8498,12160,15445,20615,14013,21458,28981
SX1031,#PDI ROs,30,39,16,62,304,,,,,,2,
SX1032,PDI Sales,8019,10462,4208,25388,21498,20613,17551,11491,7910,445,142,384
SX1033,PDI Gross,6675,8756,3589,21830,18267,17526,14885,9750,6788,389,123,322
SX1034,PDI $ Per RO,267,268,263,409,71,,,,,71,
SX1035,PDI GP%,83.24,83.69,85.29,85.99,84.97,85.02,84.81,84.85,85.82,87.42,86.62,83.85
SX1042,Shop Supplies Sales,21516,23039,21997,19466,19338,22523,23694,27020,26017,22033,26469,26251
SX1043,Shop Supplies Gross,21515,23038,21996,19465,19337,22522,23693,27019,26016,22032,26468,26250
